"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.08600000000000001,0.000032261770147188334,2.397315983577416e-6,2.6941851083353558e-6,0.00009355913342684617,9.349532335951923e-7,1.3470925541676779e-6
0.08700000000000001,0.00003488713300185681,2.50672359703007e-6,2.8210814545135563e-6,0.00010117268570538474,9.776222028417274e-7,1.4105407272567782e-6
0.08800000000000001,0.000037740386035558095,2.619434723635854e-6,2.9523266578216394e-6,0.00010944711950311847,1.021579542217983e-6,1.4761633289108197e-6
0.089,0.00004084440838424796,2.7354581262465766e-6,3.0880064409056773e-6,0.00011844878431431907,1.0668286692361649e-6,1.5440032204528386e-6
0.09,0.00004422483685174612,2.8547941163007136e-6,3.2282054899035666e-6,0.00012825202687006374,1.1133697053572784e-6,1.6141027449517833e-6
0.091,0.00004791046344291797,2.9774334131185957e-6,3.3730071730951318e-6,0.0001389403439844621,1.1611990311162523e-6,1.6865035865475659e-6
0.092,0.000051933700383724,3.1033558476436813e-6,3.522493219657529e-6,0.0001506077311127996,1.2103087805810358e-6,1.7612466098287645e-6
0.093,0.00005633112592642335,3.2325288858570856e-6,3.6767433519198334e-6,0.0001633602651866277,1.2606862654842635e-6,1.8383716759599167e-6
0.094,0.00006114412724285975,3.364905942505004e-6,3.835834863233648e-6,0.00017731796900429325,1.3123133175769517e-6,1.917917431616824e-6
0.095,0.00006641966048397094,3.5004244502158582e-6,3.999842132015057e-6,0.00019261701540351572,1.3651655355841847e-6,1.9999210660075285e-6
0.096,0.00007221115285187625,3.6390036423112788e-6,4.168836060594767e-6,0.00020941234327044112,1.4192114205013989e-6,2.0844180302973834e-6
0.097,0.00007857957758633574,3.7805419993334536e-6,4.342883425145338e-6,0.00022788077500037363,1.4744113797400469e-6,2.171441712572669e-6
0.098,0.00008559474050176347,3.924914299140045e-6,4.522046120016281e-6,0.00024822474745511404,1.5307165766646176e-6,2.2610230600081407e-6
0.099,0.00009333682664950176,4.071968197867226e-6,4.706380276143316e-6,0.00027067679728355506,1.5880675971682182e-6,2.353190138071658e-6
0.1,0.00010189826853199001,4.2215202534996705e-6,4.895935228601871e-6,0.000295504978742771,1.6463928988648716e-6,2.4479676143009353e-6
0.101,0.00011138601402598753,4.373351284393476e-6,5.090752302575866e-6,0.00032301944067536384,1.7056070009134556e-6,2.545376151287933e-6
0.10200000000000001,0.00012192429410528949,4.5272009308031704e-6,5.2908633796513885e-6,0.0003535804529053395,1.7656083630132366e-6,2.6454316898256943e-6
0.10300000000000001,0.00013365801942145765,4.682761256859744e-6,5.496289196938477e-6,0.0003876082563222272,1.8262768901753003e-6,2.7481445984692387e-6
0.10400000000000001,0.00014675697336168723,4.839669191672251e-6,5.707037319421687e-6,0.000425595222748893,1.887470984752178e-6,2.8535186597108435e-6
0.10500000000000001,0.00016142102096079695,4.997497558804023e-6,5.923099710255057e-6,0.00046812096078631117,1.949024047933569e-6,2.9615498551275285e-6
0.106,0.00017788662313139792,5.155744379985568e-6,6.1444498032311285e-6,0.0005158712070810539,2.010740308194372e-6,3.0722249016155643e-6
0.107,0.00019643504147703864,5.313820057088624e-6,6.37103895467665e-6,0.000569661620283412,2.0723898222645635e-6,3.185519477338325e-6
0.108,0.00021740275121470514,5.471031930006593e-6,6.602792116192067e-6,0.0006304679785226449,2.133702452702571e-6,3.3013960580960334e-6
0.109,0.00024119476428711935,5.6265655688199085e-6,6.839602521603788e-6,0.0006994648164326461,2.1943605718397645e-6,3.419801260801894e-6
0.11,0.0002683018252167826,5.77946197495383e-6,7.081325116432059e-6,0.0007780752931286695,2.253990170231994e-6,3.5406625582160296e-6
0.111,0.00029932281438868857,5.9285896219454444e-6,7.327768369124418e-6,0.0008680361617271968,2.3121499525587235e-6,3.663884184562209e-6
0.112,0.0003349942321419012,6.072609939495487e-6,7.578683980022403e-6,0.0009714832732115135,2.36831787640324e-6,3.7893419900112015e-6
0.113,0.0003762294279610831,6.209934403045497e-6,7.833753831252826e-6,0.001091065341087141,2.421874417187744e-6,3.916876915626413e-6
0.114,0.0004241714181766129,6.3386707902781064e-6,8.092573275364303e-6,0.0012300971127121774,2.472081608208462e-6,4.0462866376821515e-6
0.115,0.0004802649228630078,6.456555341616905e-6,8.354629507030316e-6,0.0013927682763027226,2.518056583230593e-6,4.177314753515158e-6
0.116,0.0005463560111259805,6.560866422366623e-6,8.619273244869892e-6,0.0015844324322653433,2.558737904722983e-6,4.309636622434946e-6
0.117,0.000624832086330272,6.648313698709039e-6,8.885681180567772e-6,0.0018120130503577888,2.5928423424965253e-6,4.442840590283886e-6
0.11800000000000001,0.0007188219281658783,6.714894623071558e-6,9.152805485179842e-6,0.002084583591681047,2.6188089029979074e-6,4.576402742589921e-6
0.11900000000000001,0.0008324870171388961,6.755706920038937e-6,9.419304856135354e-6,0.0024142123497027986,2.6347256988151856e-6,4.709652428067677e-6
0.12000000000000001,0.0009714548371285132,6.764701435682347e-6,9.683448729406414e-6,0.002817219027672688,2.6382335599161156e-6,4.841724364703207e-6
0.121,0.0011434787780447754,6.734353775453005e-6,9.942981641546452e-6,0.0033160884563298485,2.626397972426672e-6,4.971490820773226e-6
0.122,0.0013594703706086687,6.655225342360238e-6,0.00001019492698342203,0.003942464074765139,2.595537883520493e-6,5.097463491711015e-6
0.123,0.0016351638686000183,6.515375152680964e-6,0.000010435296053986682,0.004741975218940053,2.540996309545576e-6,5.217648026993341e-6
0.124,0.001993896270156255,6.299576261409837e-6,0.000010658644530784469,0.00578229918345314,2.4568347419498365e-6,5.329322265392234e-6
0.125,0.0024714433489824825,5.988296632895246e-6,0.000010857374261957598,0.007167185712049199,2.335435686829146e-6,5.428687130978799e-6
0.126,0.003124846120456081,5.556464006893374e-6,0.00001102059218819468,0.009062053749322634,2.167020962688416e-6,5.51029609409734e-6
0.127,0.004049473812026067,4.972281965868883e-6,0.000011132161139788439,0.011743474054875592,1.9391899666888646e-6,5.5660805698942195e-6
0.128,0.005414407447591814,4.1972656545632e-6,0.000011167188889716253,0.01570178159801626,1.6369336052796481e-6,5.5835944448581265e-6
0.129,0.0075425476879536985,3.1919614833041626e-6,0.000011085281805235156,0.021873388295065726,1.2448649784886234e-6,5.542640902617578e-6
0.13,0.011113753214280637,1.944797574695764e-6,0.000010816496472884205,0.03222988432141385,7.584710541313481e-7,5.408248236442102e-6
0.131,0.017765159336539764,6.001281925456492e-7,0.000010228946764512775,0.05151896207596531,2.340499950928032e-7,5.114473382256388e-6
0.132,0.03230312337327775,9.08931487071597e-8,9.043749554627626e-6,0.09367905778250547,3.5448327995792284e-8,4.521874777313813e-6
0.133,0.07432518566356576,6.34680740552915e-6,6.576648229994134e-6,0.2155430384243407,2.4752548881563687e-6,3.288324114997067e-6
0.134,0.30396066853570863,0.00008659252262103788,1.2388280494580213e-6,0.881485938753555,0.00003377108382220477,6.194140247290107e-7
0.136,0.31754325478113754,0.00033289373492937594,0.00005320672187118939,0.9208754388652989,0.00012982855662245661,0.000026603360935594695
0.137,0.08111658110584553,0.00013135577109244407,0.000034156261250139946,0.23523808520695205,0.000051228750726053186,0.000017078130625069973
0.138,0.036830834029593966,0.00008549633126386735,0.000029204001764648886,0.1068094186858225,0.00003334356919290827,0.000014602000882324443
0.139,0.021161061718376773,0.00006682567007875928,0.000027213059570376852,0.06136707898329264,0.000026062011330716122,0.000013606529785188426
0.14,0.013830597934283144,0.00005716151799041538,0.000026322868931721582,0.04010873400942112,0.000022292992016262,0.000013161434465860791
0.14100000000000001,0.009806710061067205,0.00005148713763276291,0.000025964303429522445,0.028439459177094895,0.000020079983676777537,0.000012982151714761223
0.14200000000000002,0.007355244805674046,0.00004790830832993028,0.00002590604341371492,0.021330209936454732,0.00001868424024867281,0.00001295302170685746
0.14300000000000002,0.005747834496824793,0.0000455619603272212,0.000026036628047593742,0.0166687200407919,0.000017769164527616268,0.000013018314023796871
0.14400000000000002,0.00463462903604234,0.00004400189500601077,0.000026295847514375938,0.013440424204522785,0.000017160739052344203,0.000013147923757187969
0.14500000000000002,0.003830377737965816,0.0000429754403829728,0.000026648391118099645,0.011108095440100866,0.000016760421749359393,0.000013324195559049822
0.146,0.003229421591618896,0.000042329325099209286,0.000027072229886421996,0.009365322615694798,0.000016508436788691623,0.000013536114943210998
0.147,0.0027678597268902603,0.00004196543962115749,0.000027552945658819406,0.008026793207981754,0.000016366521452251423,0.000013776472829409703
0.148,0.002405167240750699,0.00004181821858395706,0.00002808073622477593,0.006974984998177027,0.000016309105247743252,0.000014040368112387965
0.149,0.0021146149006433597,0.00004184227508149917,0.000028648731234080842,0.006132383211865743,0.000016318487281784677,0.000014324365617040421
0.15,0.001877980814970479,0.00004200525934980652,0.000029251995315484492,0.005446144363414389,0.000016382051146424542,0.000014625997657742246
0.151,0.0016824877253549604,0.00004228354211978053,0.000029886912185986425,0.004879214403529385,0.000016490581426714408,0.000014943456092993213
0.152,0.0015189555096372497,0.00004265950271192246,0.00003055079009988767,0.004404970977948024,0.000016637206057649757,0.000015275395049943837
0.153,0.0013806470039249678,0.00004311976798976373,0.0000312416011064253,0.004003876311382407,0.000016816709516007856,0.00001562080055321265
0.154,0.001262524665134261,0.00004365403550206762,0.00003195780402030227,0.0036613215288893567,0.000017025073845806373,0.000015978902010151133
0.155,0.0011607588640720665,0.000044254267026492206,0.000032698221350886646,0.0033662007058089926,0.00001725916414033196,0.000016349110675443323
0.156,0.00107239484354457,0.000044914123552320526,0.0000334619519357978,0.0031099450462792532,0.000017516508185405005,0.0000167309759678989
0.157,0.0009951223363630708,0.00004562856154297733,0.0000342483077555859,0.002885854775452905,0.00001779513900176116,0.00001712415387779295
0.158,0.0009271131549518902,0.00004639353931126577,0.00003505676746850121,0.0026886281493604816,0.000018093480331393652,0.000017528383734250605
0.159,0.0008669047271879737,0.000047205800061231796,0.000035886941723806305,0.002514023708845124,0.0000184102620238804,0.000017943470861903153
0.16,0.0008133152771585791,0.000048062709262069874,0.000036738546913321935,0.0023586143037598794,0.00001874445661220725,0.000018369273456660968
0.161,0.00076538117488879,0.000048962131148654636,0.000037611385061220746,0.002219605407177491,0.00001909523114797531,0.000018805692530610373
0.162,0.0007223100595935454,0.000049902333813578,0.00003850532824161011,0.0020946991728212814,0.000019461910187295422,0.000019252664120805056
0.163,0.0006834453467915557,0.000050881915473567616,0.00003942030637884307,0.0019819915056955117,0.00001984394703469137,0.000019710153189421535
0.164,0.0006482390594267975,0.000051899746611159757,0.00004035629760488204,0.0018798932723377126,0.000020240901178352305,0.00002017814880244102
0.165,0.0006162308195376624,0.000052954924154253566,0.00004131332057059408,0.0017870693766592208,0.00002065242042015889,0.00002065666028529704
0.166,0.0005870314505664369,0.0000540467348798816,0.00004229142826513061,0.001702391206642667,0.000021078226603153824,0.000021145714132565306
0.167,0.0005603100663418176,0.00005517462595522189,0.000043290703010141326,0.001624899192391271,0.000021518104122536537,0.000021645351505070663
0.168,0.000535783822369705,0.00005633818105122721,0.000044311252377160894,0.0015537730848721443,0.00002197189060997861,0.000022155626188580447
0.169,0.0005132097183943317,0.00005753710084411502,0.000045353205836293266,0.001488308183343562,0.00002243946932920486,0.000022676602918146633
0.17,0.0004923779948274575,0.00005877118699922582,0.00004641671198858789,0.0014278961849996266,0.00002292076292969807,0.000023208355994293945
