"ma GeV","Br_Kplus","Br_K0star","Br_K1","Br_K2star","Br_Kstar892","Br_Kstar1410","Br_Kstar1680","Br_Piplus","Br_Total","P_B->a,FNAL (DUNE)","P_B->a,SPS (SHiP)","P_B->a,LHC"
0.033,0.09123201849325939,0.1724225972980222,0.19754103806505277,0.06502648939745337,0.10064062310718797,0.056923390040240364,0.03581725720552661,0.02225177058849158,0.7418551841952343,2.3180632682815476e-10,3.22855376161766e-7,0.0077770162669554815
0.034,0.09123211261899833,0.172422851488063,0.1975408167442691,0.06502621915732107,0.1006406260624642,0.05692312800619662,0.035817050093215244,0.02225171697625345,0.7418545211467812,2.3180611964644368e-10,3.228550876030792e-7,0.0077770093160859375
0.035,0.09123220674473727,0.17242310567810376,0.1975405954234855,0.06502594891718877,0.10064062901774044,0.05692286597215288,0.035816842980903874,0.022251661763649632,0.7418538564979622,2.318059119646688e-10,3.2285479834791317e-7,0.007777002348439439
0.036000000000000004,0.09123231535192788,0.172423398978512,0.19754034003507132,0.0650256370915303,0.10064063242483216,0.05692256362440097,0.03581660400487864,0.022251604950680078,0.7418530964618335,2.3180567447737074e-10,3.2285446758018995e-7,0.007776994380828694
0.037000000000000005,0.09123242395911853,0.1724236922789203,0.1975400846466571,0.06502532526587183,0.1006406358319239,0.05692226127664905,0.03581636502885341,0.02225154653734477,0.7418523348253387,2.318054364900088e-10,3.2285413611598743e-7,0.0077769863964409925
0.038,0.09123253256630916,0.1724239855793285,0.1975398292582429,0.06502501344021336,0.10064063923901562,0.056921958928897155,0.03581612605282818,0.02225148652364366,0.7418515715884785,2.3180519800258316e-10,3.228538039553059e-7,0.007776978395276339
0.039,0.0912326411734998,0.17242427887973674,0.19753957386982868,0.0650247016145549,0.10064064264610734,0.05692165658114524,0.03581588707680295,0.022251424909576722,0.7418508067512524,2.318049590150937e-10,3.2285347109814507e-7,0.00777697037733473
0.04,0.09123274978069042,0.17242457218014504,0.19753931848141446,0.06502438978889644,0.10064064605319906,0.05692135423339332,0.03581564810077772,0.02225136169514391,0.7418500403136603,2.3180471952754041e-10,3.2285313754450497e-7,0.007776962342616165
0.041,0.09123287286957645,0.17242490459272541,0.19753902901753476,0.06502403637337421,0.10064064991088784,0.05692101157159968,0.03581537726091809,0.022251296880345193,0.7418491784769616,2.318044502307778e-10,3.2285276247317375e-7,0.007776953307809685
0.042,0.09123299595846249,0.17242523700530576,0.19753873955365506,0.06502368295785199,0.10064065376857664,0.056920668909806044,0.03581510642105846,0.022251230465180526,0.7418483150398969,2.3180418043395128e-10,3.228523867053632e-7,0.007776944256226249
0.043000000000000003,0.09123311904734852,0.17242556941788612,0.19753845008977533,0.0650233295423298,0.10064065762626542,0.05692032624801241,0.03581483558119882,0.02225116244964987,0.7418474500024662,2.3180391013706094e-10,3.228520102410733e-7,0.007776935187865855
0.044000000000000004,0.09123324213623453,0.1724259018304665,0.19753816062589563,0.06502297612680759,0.10064066148395422,0.056919983586218775,0.035814564741339185,0.022251092833753188,0.7418465833646695,2.318036393401067e-10,3.228516330803042e-7,0.0077769261027285045
0.045,0.09123336522512057,0.17242623424304687,0.1975378711620159,0.06502262271128537,0.100640665341643,0.056919640924425134,0.035814293901479555,0.022251021617490433,0.7418457151265069,2.318033680430887e-10,3.228512552230558e-7,0.007776917000814198
0.046,0.09123350279597818,0.17242660576984556,0.19753754761379036,0.06502222770098354,0.1006406696485477,0.056919257948211704,0.03581399119764894,0.022250948800861564,0.7418447514758675,2.3180306693268353e-10,3.228508358422976e-7,0.007776906898671815
0.047,0.0912336403668358,0.1724269772966443,0.1975372240655648,0.06502183269068172,0.10064067395545238,0.05691887497199829,0.03581368849381834,0.022250874383866547,0.741843786224862,2.3180276532221454e-10,3.2285041576506e-7,0.0077768967797524746
