"ma GeV","theta2_api0","theta2_aeta","theta2_aetapr","P_pi0mix->a,FNAL (DUNE)","P_etamix->a,SPS (SHiP)","P_etaprmix->a,LHC"
0.04,4.598449856283317e-6,2.355557214180483e-6,2.9548112381710722e-6,0.000013335504583221618,9.186673135303885e-7,1.4774056190855361e-6
0.041,5.4147423189858815e-6,2.286825768149753e-6,2.937271547833702e-6,0.000015702752725059054,8.918620495784037e-7,1.468635773916851e-6
0.042,6.329729244443067e-6,2.217314897330949e-6,2.9193233818793982e-6,0.000018356214808884895,8.647528099590701e-7,1.4596616909396991e-6
0.043000000000000003,7.351540170749333e-6,2.14709681157202e-6,2.9009683985490715e-6,0.000021319466495173067,8.373677565130878e-7,1.4504841992745358e-6
0.044000000000000004,8.488865507801355e-6,2.0762461661110093e-6,2.882208275773697e-6,0.000024617709972623926,8.097360047832936e-7,1.4411041378868485e-6
0.045,9.750998559721677e-6,2.0048401307620306e-6,2.863044709121503e-6,0.00002827789582319286,7.81887650997192e-7,1.4315223545607514e-6
0.046,0.00001114788117447198,1.9329584636782986e-6,2.8434794096066794e-6,0.00003232885540596874,7.538538008345365e-7,1.4217397048033397e-6
0.047,0.000012690153369629707,1.8606835900527784e-6,2.823514101349566e-6,0.000036801444771926146,7.256666001205836e-7,1.411757050674783e-6
0.048,0.000014389207321227857,1.7881006861522534e-6,2.8031505190774377e-6,0.000041728701231560785,6.973592675993789e-7,1.4015752595387189e-6
0.049,0.00001625724614505646,1.7152977691196135e-6,2.782390405454077e-6,0.00004714601382066373,6.689661299566493e-7,1.3911952027270385e-6
0.05,0.000018307347947506703,1.6423657930227228e-6,2.7612355082253353e-6,0.000053091309047769435,6.405226592788619e-7,1.3806177541126677e-6
0.051000000000000004,0.000020553535676606477,1.5693987516765006e-6,2.739687577166797e-6,0.00005960525346215878,6.120655131538352e-7,1.3698437885833984e-6
0.052000000000000005,0.000023010853364151544,1.4964937888188656e-6,2.7177483608184976e-6,0.00006673147475603948,5.836325776393576e-7,1.3588741804092488e-6
0.053000000000000005,0.000025695449417707087,1.4237513162813005e-6,2.6954196029902817e-6,0.00007451680331135055,5.552630133497073e-7,1.3477098014951408e-6
0.054,0.000028624667697803818,1.3512751408621103e-6,2.6727030390200734e-6,0.00008301153632363106,5.26997304936223e-7,1.3363515195100367e-6
0.055,0.00003181714720211242,1.2791726006857419e-6,2.649600391765641e-6,0.00009226972688612602,4.988773142674393e-7,1.3248001958828205e-6
0.056,0.00003529293127617001,1.207554711915907e-6,2.6261133673088355e-6,0.00010234950070089302,4.709463376472037e-7,1.3130566836544177e-6
0.057,0.000039073587381000416,1.1365363267849688e-6,2.6022436503493172e-6,0.0001133134034049012,4.4324916744613786e-7,1.3011218251746586e-6
0.058,0.00004318233857362155,1.0662363040085746e-6,2.577992899262829e-6,0.0001252287818635025,4.1583215856334407e-7,1.2889964496314146e-6
0.059000000000000004,0.0000476442079991885,9.96777692774352e-7,2.5533627407966433e-6,0.00013816820319764663,3.8874330018199724e-7,1.2766813703983217e-6
